      12,  -0.078313,   0.980223,  -0.057193
      16,  -0.077458,   0.983031,  -0.059147
      17,  -0.079045,   0.985839,  -0.060123
      17,  -0.080510,   0.987792,  -0.058292
      18,  -0.081365,   0.993530,  -0.054508
      19,  -0.076970,   0.992309,  -0.055118
      19,  -0.071965,   0.997436,  -0.054386
      20,  -0.069157,   1.000000,  -0.050601
      21,  -0.067448,   1.000000,  -0.047671
      21,  -0.067936,   1.000000,  -0.046328
      22,  -0.068669,   1.000000,  -0.044986
      23,  -0.067204,   1.000000,  -0.041690
      23,  -0.065617,   1.000000,  -0.036806
      24,  -0.064396,   1.000000,  -0.034243
      26,  -0.064518,   1.000000,  -0.033022
      31,  -0.064152,   1.000000,  -0.031191
      32,  -0.061222,   1.000000,  -0.028505
      33,  -0.056827,   1.000000,  -0.024599
      34,  -0.053531,   1.000000,  -0.018251
      37,  -0.057682,   1.000000,  -0.013245
      38,  -0.061710,   1.000000,  -0.008362
      39,  -0.064030,   1.000000,  -0.003113
      42,  -0.066715,   1.000000,  -0.002136
      44,  -0.066838,   1.000000,  -0.002503
      46,  -0.066227,   1.000000,  -0.004456
      47,  -0.067692,   1.000000,  -0.006775
      48,  -0.069523,   1.000000,  -0.003479
      49,  -0.069645,   1.000000,  -0.002380
      51,  -0.070134,   0.997192,  -0.003357
      52,  -0.072819,   0.996582,  -0.004212
      53,  -0.075871,   0.997681,  -0.004578
      54,  -0.075627,   0.999268,  -0.005188
      56,  -0.073918,   0.998901,  -0.004822
      57,  -0.073918,   0.996216,  -0.004456
      58,  -0.074406,   0.993164,  -0.005432
      59,  -0.074162,   0.991943,  -0.006897
      61,  -0.074162,   0.992797,  -0.005799
      63,  -0.073918,   0.992675,  -0.001892
      66,  -0.073918,   0.992309,   0.001648
      67,  -0.076360,   0.999146,   0.000793
      68,  -0.075017,   1.000000,  -0.002625
      69,  -0.074162,   1.000000,  -0.001526
      71,  -0.074651,   1.000000,   0.000916
      72,  -0.070134,   1.000000,   0.005432
      73,  -0.064396,   1.000000,   0.008362
      74,  -0.063908,   1.000000,   0.008729
      77,  -0.064396,   1.000000,   0.006653
      78,  -0.064640,   1.000000,   0.003235
      79,  -0.064274,   1.000000,   0.001892
      81,  -0.061222,   1.000000,   0.002747
      82,  -0.059513,   1.000000,   0.004212
      84,  -0.060001,   1.000000,   0.005921
      86,  -0.060245,   1.000000,   0.007508
      87,  -0.059879,   1.000000,   0.007752
      91,  -0.058414,   1.000000,   0.005310
